Tahun,Kd_Desa,No_SSP,No_Bukti,Kd_Rincian,Nilai
"2019","12.2009.","0001/SSP/12.2009/2019","00031/KWT/12.2009/2019","7.1.1.03.",7.7527000000000000e+04
"2019","12.2009.","0001/SSP/12.2009/2019","00032/KWT/12.2009/2019","7.1.1.03.",4.5000000000000000e+05
"2019","12.2009.","0001/SSP/12.2009/2019","00037/KWT/12.2009/2019","7.1.1.03.",2.2432000000000000e+04
"2019","12.2009.","0001/SSP/12.2009/2019","00038/KWT/12.2009/2019","7.1.1.03.",6.2727300000000000e+05
"2019","12.2009.","0001/SSP/12.2009/2019","00039/KWT/12.2009/2019","7.1.1.03.",9.4129100000000000e+05
"2019","12.2009.","0001/SSP/12.2009/2019","00041/KWT/12.2009/2019","7.1.1.03.",3.0000000000000000e+05
"2019","12.2009.","0001/SSP/12.2009/2019","00044/KWT/12.2009/2019","7.1.1.03.",2.1818200000000000e+05
"2019","12.2009.","0001/SSP/12.2009/2019","00047/KWT/12.2009/2019","7.1.1.03.",1.5000000000000000e+05
"2019","12.2009.","0002/SSP/12.2009/2019","00031/KWT/12.2009/2019","7.1.1.01.",5.1684800000000000e+05
"2019","12.2009.","0002/SSP/12.2009/2019","00032/KWT/12.2009/2019","7.1.1.01.",3.0000000000000000e+06
"2019","12.2009.","0002/SSP/12.2009/2019","00038/KWT/12.2009/2019","7.1.1.01.",4.1818180000000000e+06
"2019","12.2009.","0002/SSP/12.2009/2019","00039/KWT/12.2009/2019","7.1.1.01.",6.2752720000000000e+06
"2019","12.2009.","0002/SSP/12.2009/2019","00041/KWT/12.2009/2019","7.1.1.01.",2.0000000000000000e+06
"2019","12.2009.","0002/SSP/12.2009/2019","00044/KWT/12.2009/2019","7.1.1.01.",1.4545460000000000e+06
"2019","12.2009.","0002/SSP/12.2009/2019","00047/KWT/12.2009/2019","7.1.1.01.",1.0000000000000000e+06
"2019","12.2009.","0003/SSP/12.2009/2019","00075/KWT/12.2009/2019","7.1.1.02.",7.5000000000000000e+04
"2019","12.2009.","0004/SSP/12.2009/2019","00065/KWT/12.2009/2019","7.1.1.03.",4.3533800000000000e+05
"2019","12.2009.","0004/SSP/12.2009/2019","00072/KWT/12.2009/2019","7.1.1.03.",4.7730000000000000e+03
"2019","12.2009.","0005/SSP/12.2009/2019","00065/KWT/12.2009/2019","7.1.1.01.",2.9022540000000000e+06
"2019","12.2009.","0006/SSP/12.2009/2019","00067/KWT/12.2009/2019","7.1.1.04.",1.0500000000000000e+04
"2019","12.2009.","0006/SSP/12.2009/2019","00068/KWT/12.2009/2019","7.1.1.04.",3.0000000000000000e+04
"2019","12.2009.","0007/SSP/12.2009/2019","00092/KWT/12.2009/2019","7.1.1.01.",1.3636400000000000e+05
"2019","12.2009.","0007/SSP/12.2009/2019","00094/KWT/12.2009/2019","7.1.1.01.",3.8636400000000000e+05
"2019","12.2009.","0007/SSP/12.2009/2019","00097/KWT/12.2009/2019","7.1.1.01.",3.4090900000000000e+05
"2019","12.2009.","0008/SSP/12.2009/2019","00094/KWT/12.2009/2019","7.1.1.03.",5.7955000000000000e+04
"2019","12.2009.","0008/SSP/12.2009/2019","00097/KWT/12.2009/2019","7.1.1.03.",5.1136000000000000e+04
"2019","12.2009.","0009/SSP/12.2009/2019","00096/KWT/12.2009/2019","7.1.1.04.",2.0000000000000000e+04
